               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12221,            0.043166,            0.042026,            0.012272,             0.06645,            0.010608,           0.0026824,             0.11578,            0.038171,            0.043143,              0.0973,              0.0003,              0.0003
                   1,             0.11828,            0.046902,            0.038941,           0.0092693,             0.13474,            0.010721,           0.0023078,             0.10996,             0.03821,            0.041826,            0.093677,           0.0006769,           0.0006769
                   2,             0.10957,            0.046602,            0.037383,            0.009136,             0.21829,            0.008225,           0.0022546,             0.10065,            0.039117,            0.039476,            0.090027,           0.0010274,           0.0010274
                   3,             0.10266,            0.050236,            0.035946,            0.009668,             0.27137,            0.022668,            0.006588,            0.094128,            0.038644,            0.036731,            0.086351,           0.0013515,           0.0013515
                   4,             0.09743,            0.047298,            0.033523,            0.010201,             0.32251,            0.036759,            0.011217,            0.091051,            0.037978,            0.034825,            0.082649,           0.0016492,           0.0016492
                   5,            0.090852,            0.058889,            0.033872,             0.22695,              0.1197,            0.091194,            0.026501,            0.088125,            0.037085,            0.032627,            0.078921,           0.0019205,           0.0019205
                   6,            0.087407,            0.055133,            0.031053,              0.1508,             0.16029,             0.11367,            0.043972,            0.082837,            0.037054,            0.030257,            0.075165,           0.0021654,           0.0021654
                   7,            0.083195,            0.060427,            0.030599,             0.17919,             0.31542,             0.15281,            0.066639,            0.079283,            0.035933,            0.028166,            0.071384,           0.0023839,           0.0023839
                   8,            0.079404,            0.049166,            0.028591,             0.19211,             0.42955,             0.26713,             0.11526,            0.075885,            0.036177,            0.026313,            0.067576,            0.002576,            0.002576
                   9,            0.077095,            0.046992,            0.026375,              0.3002,             0.54513,             0.33583,             0.16932,            0.075416,            0.037107,            0.025064,            0.063742,           0.0027417,           0.0027417
                  10,            0.072202,            0.050743,            0.024315,             0.26073,             0.54318,              0.3734,             0.20416,            0.073597,            0.039827,            0.023666,            0.059881,            0.002881,            0.002881
                  11,            0.069994,            0.042014,            0.024758,             0.41051,             0.46553,             0.33024,             0.11798,            0.076729,            0.042271,            0.022247,            0.055994,           0.0029939,           0.0029939
                  12,            0.068432,            0.040101,            0.021859,             0.36037,             0.48654,             0.37977,             0.17243,            0.072062,             0.03511,            0.021034,             0.05208,           0.0030804,           0.0030804
                  13,            0.066442,            0.042444,            0.021114,             0.43009,             0.40563,             0.36705,             0.17666,            0.070486,            0.032132,            0.020781,            0.048141,           0.0031405,           0.0031405
                  14,            0.065806,             0.04453,            0.020117,             0.34829,             0.38344,             0.28365,              0.1333,            0.075917,            0.030774,            0.019788,            0.044174,           0.0031742,           0.0031742
                  15,            0.066396,            0.042803,            0.020314,             0.38941,             0.44536,             0.34841,             0.16214,            0.067314,            0.029476,            0.019149,            0.040182,           0.0031815,           0.0031815
                  16,            0.061761,            0.041285,            0.018595,             0.45194,             0.42848,             0.41263,             0.19655,            0.065761,            0.029064,            0.018456,            0.036162,           0.0031624,           0.0031624
                  17,            0.058956,            0.038785,            0.018029,             0.52861,             0.43474,             0.44982,             0.24182,            0.067425,            0.028433,            0.017404,            0.032117,           0.0031169,           0.0031169
                  18,            0.063433,            0.043089,             0.01812,             0.48222,             0.39968,             0.40252,             0.21016,            0.065769,            0.028084,            0.016989,            0.028045,            0.003045,            0.003045
                  19,            0.058064,            0.037405,            0.018247,             0.46705,             0.52081,             0.46991,              0.2324,            0.061739,            0.028215,            0.016609,            0.023947,           0.0029467,           0.0029467
                  20,            0.053638,            0.037738,            0.017165,              0.3695,             0.49821,             0.40364,             0.24352,            0.062429,            0.027648,            0.016009,            0.019822,            0.002822,            0.002822
                  21,            0.058691,            0.041762,            0.017018,               0.548,             0.53328,             0.54065,             0.32171,            0.057534,            0.026917,            0.015687,            0.015671,           0.0026709,           0.0026709
                  22,             0.05305,             0.04559,            0.016443,             0.49794,             0.47067,             0.48105,             0.27391,            0.060306,            0.027025,            0.015166,            0.011493,           0.0024934,           0.0024934
                  23,            0.055194,            0.039439,            0.016238,             0.71492,             0.52675,             0.56598,              0.3509,            0.054455,            0.026543,            0.014918,           0.0072895,           0.0022895,           0.0022895
                  24,            0.049995,            0.036496,             0.01477,              0.5819,              0.5126,             0.53373,             0.33731,            0.055936,             0.02635,             0.01466,           0.0030592,           0.0020592,           0.0020592
                  25,            0.050559,            0.035653,            0.014313,             0.70088,             0.54102,             0.61774,             0.39448,            0.051572,            0.026192,              0.0145,             0.00175,             0.00175,             0.00175
                  26,            0.048047,            0.039046,            0.017013,              0.6557,             0.57214,              0.5705,             0.34441,            0.052793,            0.026218,            0.014273,             0.00175,             0.00175,             0.00175
                  27,            0.049423,             0.04264,             0.01637,             0.78289,             0.52835,             0.64045,             0.41635,            0.049016,            0.025926,            0.014154,             0.00142,             0.00142,             0.00142
                  28,             0.04571,            0.035997,            0.014657,              0.7116,             0.52601,             0.61078,             0.42994,            0.048743,            0.025841,            0.014007,             0.00109,             0.00109,             0.00109
                  29,            0.043496,            0.037066,            0.014115,             0.80583,             0.55319,             0.65141,             0.44152,            0.047318,            0.025722,            0.013945,             0.00076,             0.00076,             0.00076
